,T1 (Celsius),P1 (MPa),P6 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,41.155,25.147,25000.0
1,417.895,8.211,0.01,41.838,24.683,25000.0
2,435.789,8.421,0.009,42.519,24.249,25000.0
3,453.684,8.632,0.009,43.197,23.845,25000.0
4,471.579,8.842,0.008,43.875,23.468,25000.0
5,489.474,9.053,0.008,44.554,23.118,25000.0
6,507.368,9.263,0.007,45.236,22.795,25000.0
7,525.263,9.474,0.007,45.921,22.5,25000.0
8,543.158,9.684,0.006,46.613,22.237,25000.0
9,561.053,9.895,0.006,47.152,21.089,25000.0
10,578.947,10.105,0.005,47.783,20.478,25000.0
11,596.842,10.316,0.005,48.422,19.888,25000.0
12,614.737,10.526,0.004,49.07,19.318,25000.0
13,632.632,10.737,0.004,49.733,18.765,25000.0
14,650.526,10.947,0.003,50.416,18.227,25000.0
15,668.421,11.158,0.003,51.126,17.701,25000.0
16,686.316,11.368,0.002,51.877,17.182,25000.0
17,704.211,11.579,0.002,52.686,16.666,25000.0
18,722.105,11.789,0.001,53.589,16.143,25000.0
19,740.0,12.0,0.001,54.662,15.595,25000.0
