,T1 (Celsius),P1 (MPa),P4 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,36.36,27.374,30000.0
1,296.828,8.211,0.01,36.605,27.139,30000.0
2,298.612,8.421,0.009,36.853,26.906,30000.0
3,300.362,8.632,0.009,37.103,26.673,30000.0
4,302.079,8.842,0.008,37.356,26.44,30000.0
5,303.766,9.053,0.008,37.614,26.206,30000.0
6,305.422,9.263,0.007,37.877,25.969,30000.0
7,307.049,9.474,0.007,38.147,25.73,30000.0
8,308.649,9.684,0.006,38.425,25.486,30000.0
9,310.223,9.895,0.006,38.714,25.237,30000.0
10,311.77,10.105,0.005,39.015,24.981,30000.0
11,313.293,10.316,0.005,39.331,24.715,30000.0
12,314.792,10.526,0.004,39.666,24.438,30000.0
13,316.268,10.737,0.004,40.025,24.146,30000.0
14,317.721,10.947,0.003,40.414,23.835,30000.0
15,319.153,11.158,0.003,40.842,23.498,30000.0
16,320.564,11.368,0.002,41.325,23.128,30000.0
17,321.955,11.579,0.002,41.885,22.708,30000.0
18,323.326,11.789,0.001,42.563,22.213,30000.0
19,324.678,12.0,0.001,43.45,21.59,30000.0
